
key = training_type

ContinuousTraining

key = model_output

loadings

key = dfm_loadings

key = 0

,0,1,2,3,4
IEI,-1.0040559143408212e-05,-1.9586110297328286e-06,3.5176253807658463e-06,-2.054309449725355e-06,4.127859283690412e-06
IEF,-1.6682482819965107e-05,-5.580050592393102e-06,6.0753850850991786e-06,-3.7797894643762636e-06,5.137000056752075e-06
VGIT,-1.1667931383226349e-05,-2.7386452224988324e-06,4.114710921964611e-06,-2.4540161423126475e-06,4.441470194248948e-06
TLT,-1.602340036628625e-05,-1.828094375312651e-05,6.94345812249028e-06,-5.464530114364738e-06,-4.7429067240221975e-06
GOVT,-1.0801380516730152e-06,-4.067381216345497e-06,3.3816376910428566e-07,-6.577339667792518e-07,-2.511386630679667e-06
MUB,-1.8753777999410258e-05,-2.9245428507434962e-06,7.152283308711268e-06,-3.7863648386349655e-06,8.9282573966944e-06
SHM,-6.476011852417118e-06,-7.428307890018939e-07,3.022605513473868e-06,-1.4233665417672493e-06,3.6561445873950156e-06
VCSH,-9.586716081008892e-07,-3.014224899009328e-07,4.014423109560045e-07,-2.58766055616212e-07,3.903478919093348e-07
VCIT,-1.4273422769832389e-05,-4.365818742714807e-06,6.097651412955204e-06,-3.44485991531689e-06,5.510558010277707e-06
VCLT,-3.518839189470686e-06,-1.1828546047605335e-05,4.175993850381654e-06,-3.205874602529077e-06,-5.645582897661246e-06
LQD,-7.81983886907625e-06,-7.0130796621296e-06,4.5540270508570385e-06,-2.9336827659647833e-06,2.418301472819593e-08
HYG,3.5598553640016977e-06,1.7030177870086923e-06,1.128923693467266e-06,4.095025586992844e-08,1.0062213828626226e-06
SHYG,9.08366393161471e-06,2.4415963572442422e-06,-1.591522169552823e-06,1.3582659697998887e-06,-2.091369447278329e-06
MBB,-8.154335320337147e-06,-1.1644145097922467e-06,3.4300426670676314e-06,-1.7614232744469307e-06,4.057945737650288e-06
VMBS,-1.142645123004644e-05,-1.941130629149842e-06,5.1047748309858966e-06,-2.553293623776357e-06,5.72828328922732e-06
AGG,-8.215223700666869e-06,-4.060546761449075e-06,3.5719422939129597e-06,-2.2257021127428493e-06,1.8310197131538258e-06
BSV,-5.403204759141483e-06,-8.934905246659769e-07,1.9937333555867847e-06,-1.1125768718359226e-06,2.4365534513862478e-06
BIV,-1.4592671250755555e-05,-4.304670904124922e-06,5.764558422078882e-06,-3.3384544321202276e-06,5.377351772998045e-06
BLV,-1.1177157469195779e-05,-1.3704796838633884e-05,6.086084164999118e-06,-4.4751297657836105e-06,-3.3187478325204424e-06
BNDX,-1.2487391671127117e-05,-2.3644496753774447e-06,5.125107967950161e-06,-2.7262225920308117e-06,5.690345787226619e-06
EMB,-1.4599781490103897e-05,-3.6138845380871722e-06,7.679820758156074e-06,-3.8085077037075293e-06,7.427047239320358e-06
GLD,-7.466945978738186e-05,-1.1626771311544723e-05,3.218492793066067e-05,-1.601654769374095e-05,3.869158290256098e-05
SLV,-0.00026129373799361035,-3.8775956809788274e-05,0.00010679860099631626,-5.470392326817139e-05,0.00013081433942022338
USO,-0.00026501633496624314,-2.9082376389561422e-05,0.00012809303532925357,-6.105380573175208e-05,0.0001534746729715873
PDBC,-0.00019193559270911585,-1.6512999096391506e-05,8.762308360756908e-05,-4.210833144530847e-05,0.00011061802027156056
VNQ,-3.5159771677374954e-05,-7.1381405036994675e-06,2.038734633208156e-05,-1.0991943078666697e-05,1.8450664501122182e-05
VNQI,-5.248066723645791e-05,-6.958827027766429e-06,2.5620154332161707e-05,-1.2035743827836141e-05,3.0926537499378226e-05

key = 3

,0,1,2,3,4
DIA,-3.375718897420234e-05,-9.933403723134955e-06,2.2788120983967686e-05,-3.2039205165540644e-06,8.803094031820496e-06
SPY,-1.651765851317845e-05,-8.411142023034278e-06,1.519563408526391e-05,1.941429494199375e-08,1.3800088877768303e-06
VO,-5.420248560541081e-05,-1.3163543129413603e-05,3.3680683593674054e-05,-3.218928249880938e-06,2.2962982989094394e-05
IJH,-6.650061781185414e-05,-1.62862138750583e-05,4.2017058311787014e-05,-3.585138097195388e-06,2.6523338377228574e-05
QQQ,9.255285874212825e-06,-5.80694628794952e-06,5.7810972096382435e-06,7.627618169999872e-06,-8.000622952114595e-06
IWF,3.024703050835074e-06,-6.693086529794247e-06,7.304709914508552e-06,5.823072117413179e-06,-6.301619395561336e-06
XLY,-5.5089247437279596e-05,-1.5912720954063484e-05,3.326698348185962e-05,-1.024089577216239e-06,1.6001743428050404e-05
XLP,-1.3049551753974017e-05,-3.8116106584757195e-06,9.746547379090366e-06,1.1607335071001977e-06,3.301373475643776e-06
XLE,-1.527408672348249e-05,-1.255643206052658e-05,2.656046034595199e-05,5.605125328396673e-06,-1.6438069800817057e-05
XLF,-0.00012047316529897089,-2.401552625438855e-05,5.81723223744494e-05,-2.422195503482576e-05,4.5029273372436564e-05
XLV,-3.8746782575581883e-05,-6.289506110288011e-06,2.3888402661829605e-05,-9.194684699706223e-06,3.0830126297749685e-05
