
key = model_output

dfm_loadings_collect

key = dfm_loadings_collect

key = 13

key = 0

,0,1,2,3,4
IEFA,-3.2492566756158463e-05,8.81027011003565e-05,-3.0227591507447146e-05,-6.606188273133494e-06,-1.711521970219397e-05
EFA,-3.176087783003205e-05,8.66199223507339e-05,-2.963402429355147e-05,-6.517842346414642e-06,-1.6783940398893046e-05
VGK,-1.950423255781702e-05,4.67569447063564e-05,-1.6002460516359167e-05,-5.176247932630878e-06,-8.864276697008122e-06
VWO,-1.4159952108599008e-05,2.7617268400442622e-05,-7.876672017004106e-06,-3.739136199241261e-06,-5.214386473591429e-06
IEMG,-2.134191732257826e-05,5.224952261259522e-05,-1.6205083656477258e-05,-4.537271695056037e-06,-1.0505826299871239e-05
SHV,-3.040153291955772e-07,6.984991459847428e-07,-2.862872459679462e-07,-8.99610143435666e-08,-1.8694328608796237e-07
BIL,-2.1446468645772928e-07,7.588332516327435e-07,-2.3134561575518034e-07,-3.424972899951668e-08,-1.4124750514912957e-07
GBIL,1.941673943831461e-08,9.494558587842016e-07,-4.225138905386483e-07,-1.7434127539093578e-07,-2.88444032426741e-07
SHY,-6.328202476076247e-06,1.616069805533235e-05,-6.281447664122575e-06,-1.2622943036218306e-06,-3.7610866960987635e-06
IEI,-1.3778065441652107e-05,3.651192448079672e-05,-1.3869078424726056e-05,-2.8723814688090295e-06,-8.224415176834904e-06
IEF,-2.1392342141845662e-05,5.963271762408061e-05,-2.2100251569970312e-05,-4.338562162476617e-06,-1.3106425125864809e-05
VGIT,-1.550541356276774e-05,4.190746748577877e-05,-1.574293750241638e-05,-3.174641383115176e-06,-9.33825145402797e-06
TLT,-3.605124037798246e-05,0.00010783920466577555,-3.932555298990254e-05,-7.73280354874934e-06,-2.3455933204974303e-05
GOVT,-1.6562905614770524e-05,4.632711704850842e-05,-1.7268708549104627e-05,-3.4593707446992016e-06,-1.0331381646395493e-05
MUB,-1.4680846631188941e-05,4.365342553772652e-05,-1.526792457028027e-05,-2.4183311562996126e-06,-8.995244101846303e-06
SHM,-3.191979323892319e-06,9.922208930398872e-06,-3.572749531757965e-06,-7.582130373880507e-07,-2.0605846046506436e-06
VCSH,-1.0097272175503552e-05,2.673292897526693e-05,-9.980439748208038e-06,-1.98232496280128e-06,-5.900505253574586e-06
VCIT,-2.1612842033916137e-05,5.975284836489723e-05,-2.1776207063837535e-05,-4.227148845080579e-06,-1.2987581244866714e-05
VCLT,-4.071623233648917e-05,0.00011876872080235457,-4.271674188513473e-05,-7.678060113515855e-06,-2.5128393923157352e-05
LQD,-2.9233780198679916e-05,8.311304408022672e-05,-3.0053465251779954e-05,-5.53195698396648e-06,-1.776899675648718e-05
HYG,-1.848844193449962e-05,4.8471059200593115e-05,-1.709726197323815e-05,-3.442183956897782e-06,-9.80926581318981e-06
SHYG,-1.5191854228724666e-05,4.0190814686058876e-05,-1.4009123280704483e-05,-2.6669327006363698e-06,-7.907670825733433e-06
MBB,-2.2068006888151836e-05,6.055230740305734e-05,-2.256583290810402e-05,-4.4057242102186645e-06,-1.3728419812414518e-05
VMBS,-2.1879068915709085e-05,5.976979732980576e-05,-2.2158526683501876e-05,-4.316841088539718e-06,-1.3601343930565006e-05
AGG,-1.8495778521356555e-05,5.131357015063549e-05,-1.903345821193632e-05,-3.7934293373460007e-06,-1.1335786115336855e-05
BSV,-8.815644807724267e-06,2.2879678703014558e-05,-8.826827523615389e-06,-1.8018345971588747e-06,-5.279902481674204e-06
BIV,-1.9545045131885757e-05,5.372345975245945e-05,-1.992262004447982e-05,-3.975112311587428e-06,-1.1844098815218339e-05
BLV,-3.6859877938867175e-05,0.00010822274737508362,-3.918532263367918e-05,-7.4285412617883045e-06,-2.3292721613953745e-05
BNDX,-8.986791299471824e-06,2.6043730748323863e-05,-9.139391880141156e-06,-1.835639900552739e-06,-5.58015366283472e-06
EMB,-2.6974949622489052e-05,6.88252634808847e-05,-2.5784670032625018e-05,-5.5328430778228265e-06,-1.517611513732348e-05
GLD,-3.467396615506284e-05,0.00010123174145126048,-3.2674713216998196e-05,-4.6638463057639245e-06,-1.836160097654539e-05
SLV,-3.621249190671667e-05,9.852968182099724e-05,-3.431533092638641e-05,-4.430839318486556e-06,-1.9098006624928232e-05
USO,2.2595549669480264e-05,-0.00010533029802408017,3.089333364622284e-05,5.038783347635155e-06,1.4823425591101428e-05
PDBC,-5.962929532309813e-07,-2.2144564745946795e-05,4.539406971016802e-06,8.404178517189167e-07,6.348250868722502e-07
VNQ,-1.5410625259615134e-05,4.0098009775476227e-05,-1.4497575800438122e-05,-6.538610869075853e-06,-5.464079248162476e-06
VNQI,-4.1130756797080225e-05,0.00011017060521826541,-3.855238661166829e-05,-7.488797740190187e-06,-2.2507745298518732e-05

key = 2

,0,1,2,3,4
DIA,-3.6959431900759084e-05,9.940097722561968e-05,-3.399585842953595e-05,-4.607862081799687e-06,-1.827953124197828e-05
SPY,-3.942313004604545e-05,0.00011013523633491853,-3.7954382900569774e-05,-4.31690797146002e-06,-2.1306070659349515e-05
VO,-3.5233451278526266e-05,9.320405178714331e-05,-3.2716553312465415e-05,-5.547577496495894e-06,-1.5474011122096633e-05
IJH,-3.660204011484245e-05,9.317312021590151e-05,-3.3032752107278114e-05,-6.536224512322359e-06,-1.4257038420546081e-05
QQQ,-5.871812920121222e-05,0.0001602466044990735,-5.596283433748587e-05,-6.401293604906281e-06,-3.1833899513530296e-05
IWF,-5.432044869589283e-05,0.0001516740544056165,-5.252815126868201e-05,-5.386985133897419e-06,-3.059332977194929e-05
XLY,-6.407558554803681e-05,0.00016051994935561381,-5.697189721902186e-05,-8.18606837099077e-06,-3.131413253125626e-05
XLP,-1.2264860888614776e-05,2.4001872521092204e-05,-7.74346725963472e-06,-1.9737171696402173e-06,-3.6543036645862705e-06
XLE,5.460700544566244e-05,-0.0001471091422745354,5.0586318309924087e-05,5.257663979163572e-06,3.0476868161281594e-05
XLF,-2.3978824507199792e-05,7.105566247874545e-05,-2.4153148574182126e-05,-3.5490995903716205e-06,-1.1568578358926943e-05
XLV,-4.245379295073088e-05,0.00011768752965204843,-3.912180380176959e-05,-4.0185395787021115e-06,-2.3126824034255723e-05
XLI,-2.8468513791235864e-05,7.562656075996666e-05,-2.611818743391442e-05,-4.455247989675607e-06,-1.2273967325182512e-05
XLB,-2.1745590789127312e-05,4.7237715846983234e-05,-1.6651300424251726e-05,-4.714020528424234e-06,-5.69090895221182e-06
