
key = model_output

diff_score

key = diff_score_dict

key = diff_fit_variance_ts

,2018-12-28,2019-01-04,2019-01-11,2019-01-18,2019-01-25,2019-02-01,2019-02-08,2019-02-15,2019-02-22,2019-03-01,2019-03-08,2019-03-15,2019-03-22,2019-03-29,2019-04-05,2019-04-12,2019-04-19,2019-04-26,2019-05-03,2019-05-10,2019-05-17,2019-05-24,2019-05-31,2019-06-07,2019-06-14,2019-06-21
IEFA,-0.019322186836816194,-0.019432827424026678,-0.010981142560250776,-0.007445331581714994,-0.0258307625907169,-0.039857048544491715,-0.05151353935773773,-0.04425364132573692,-0.06151253600192503,-0.07348974982095767,-0.05933017787396335,-0.0554837442030228,-0.059100212278308584,-0.07612049419545269,-0.07216968867518775,-0.08861047653435761,-0.10639663217354085,-0.1228327181138547,-0.1392932887339128,-0.129937089834252,-0.14188249334203568,-0.15175771691474382,-0.11804948301255132,-0.0905812533461321,-0.09775076650754898,-0.09652173215534277
EFA,-0.0202983506722765,-0.022606463508632327,-0.014263554922337579,-0.010189857980860972,-0.028681188310644562,-0.04246195320233598,-0.05413914927383921,-0.04542694999043258,-0.06305812029334967,-0.07533377848437497,-0.06222153139003444,-0.05703865132991752,-0.059487229752000305,-0.07646606896137373,-0.0716274793561478,-0.08814538871351496,-0.10580274618011071,-0.12210310612835142,-0.1383451622230524,-0.12839980340383786,-0.1404052248535345,-0.15003360848377995,-0.11372164910018992,-0.08224901370319837,-0.08976359038481876,-0.08863518097680148
VGK,-0.02214837183487686,-0.024189829393770776,-0.011846027274210857,-0.009504684250452705,-0.0274537336182997,-0.040275810119332796,-0.052258529288694296,-0.045211789979265705,-0.06212939111199391,-0.06856308214207087,-0.05485638649798069,-0.03844122686295004,-0.03869619204541825,-0.05646999231299671,-0.04753657037281875,-0.06320674236633803,-0.08095504601010697,-0.09719321357323828,-0.11438442111027476,-0.11080541375373455,-0.12376032998700422,-0.13376852985375423,-0.09713420768830774,-0.06075147586656151,-0.06876014453981723,-0.06754246335916754
VWO,-0.03651961210828236,-0.04842683609155473,-0.039031293269616615,-0.03371505853618559,-0.05037777137452047,-0.060836798725119566,-0.06921103513921484,-0.07529818738266522,-0.08399514235247156,-0.09412683059759049,-0.08431774800598633,-0.08395365563557068,-0.07911770453561719,-0.08960005454524976,-0.07819505893963849,-0.09368770444580195,-0.11004169908563327,-0.11795038475870281,-0.13359473287018725,-0.10372831640840104,-0.09291671037383897,-0.10202376461479722,-0.07246631828996158,-0.07087250425475729,-0.07995731937284578,-0.06529932348154495
IEMG,-0.03669837786117728,-0.04819599391137145,-0.03882218866414448,-0.0333912084169132,-0.04927530132702857,-0.05904007687888302,-0.0668171533671922,-0.07365702392232723,-0.08534613503044372,-0.09221586299760057,-0.07985211038151033,-0.08328909092065365,-0.0790395371127829,-0.09361168157936507,-0.08201924833393671,-0.09771940281148735,-0.11415357187908362,-0.12071352527739863,-0.13631503540793444,-0.10586280191714519,-0.09469228757590345,-0.10339776532405351,-0.07310600808450467,-0.07561891109007836,-0.08462154963576377,-0.07220286440630198
SHV,0.00495100230524752,0.02302200180755272,0.014742587505764222,0.03202903704692223,0.028474914794225547,0.03935787032536419,0.024248506512125696,0.018933429874552554,0.00563680593129712,0.0005788329441651911,0.018870796375794637,0.011209497372455563,0.01682250814988603,0.005123694783251356,0.004602039594543483,0.010517920834352629,0.0006735712107176558,0.023693621183338176,0.010569558746417573,-0.003925795718316495,-0.008170597841849234,-0.01398496726939137,-0.006462247044423844,0.08328028761277345,0.11784238469573761,0.10617249917379135
BIL,-0.014457862772433877,-0.013485386938318342,-0.003916018125973348,0.009577742223735208,-0.006749735047548809,-0.0010705283542446784,-0.0012487909339549286,-0.01518271248479062,-0.01199126430708779,-0.02212311932314027,-0.03349402719504339,-0.04465319116918666,-0.05141932679442229,-0.06410819532495599,-0.06297143513893351,-0.0716544768260129,-0.07402949774149838,-0.08429414021906856,-0.08335177973752765,-0.0899323544123607,-0.09826205695908115,-0.09094107370306127,-0.09005645221364789,-0.09048837318603685,-0.059900632501145815,-0.03823180883117573
GBIL,0.03389050351211731,0.026266655240154167,0.01738410343094463,0.02557225219272888,0.015702712244043827,0.0232076030859609,0.015613258804371765,0.003684765086499827,-0.011705188897470846,-0.023632431755512846,-0.03241507271498932,-0.03071027049833479,-0.03408892800597059,-0.04200943737336266,-0.05364644849500661,-0.04812569765784146,-0.05374340630152138,-0.062211689750806945,-0.07438449071673589,-0.0856607887628414,-0.06848080002361832,-0.08019553994978477,-0.07772006873679758,-0.028075130557149938,-0.03072536470872385,-0.032187448821381213
SHY,0.01025293906855358,0.007631597762682761,0.006563791534124807,0.008522805203325944,-0.003936712304484781,0.006233347415558173,0.004303319493118973,-0.0025749982308154672,-0.0161173376148833,-0.018594204677732262,-0.0034571841862627143,-0.003935424980651794,0.03038769354908896,0.022058969407089585,0.023744474327538533,0.007912038917371191,-0.008240383900794793,0.003364722404167466,-0.0037419486360329994,-0.00038986199676391324,-0.009112977220088317,-0.017412545664509213,0.034687391638612654,0.065160412900294,0.0571363272329731,0.0789839877862724
IEI,-0.0034406110808261137,0.0027240628153011467,-0.0012766031356202117,0.0002148510273952195,-0.008068078235997913,0.006654765050596083,-0.00020163289103521193,-0.010887408455659216,-0.027385464309302422,-0.023586282479886728,-0.0007058963601712466,-0.0008928194275261304,0.031222383333508144,0.019142237320429894,0.01408227394187386,0.0003682062180460577,-0.01701376510659441,-0.016345453670874213,-0.029786756718566787,-0.03597944044438699,-0.039952321819815124,-0.04699793434975703,-0.012736004391800051,0.010983349725095185,0.0024075168163888343,0.01178539680179545
