
key = training_type

ContinuousTraining

key = model_output

unobs

key = ts_unobs

key = Learning

Symbol,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-03-19,2021-03-26,2021-04-02,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-20,2021-08-27,2021-09-03,2021-09-10,2021-09-17,2021-09-24,2021-10-01,2021-10-08,2021-10-15,2021-10-22,2021-10-29,2021-11-05,2021-11-12,2021-11-19,2021-11-26,2021-12-03,2021-12-10,2021-12-17,2021-12-24,2021-12-31
XLV,0.00433183967010065,0.006464649953712041,-0.004941897280445648,-0.008040001319949567,0.008349887905063778,0.01404865707496018,-0.009813473540005693,-0.014070585620878748,0.006358419767774631,0.015928516647661664,-0.0016540179273604664,-0.024315731565147113,-0.00469982473549144,0.03385029055587873,0.0009924943217139923,-0.022533387980191187,-0.013080956908643523,0.02140941764234622,0.006548072502450505,-0.013220978576488674,-0.01028801072928189,0.008319439442283444,0.010260452912778644,6.196441030812414e-05,-0.008955493821613928,-0.004462397222288587,0.011104542642093035,0.010114100359358967,-0.003392565073460816,-0.013716746998382368,0.0034792240626579907,0.007836876073046308,-0.0019234449770869758,-0.0056369407801598465,-0.009558517948928282,0.005156930181797649,0.007827831799383107,0.00020901924461293924,-0.006755572993859641,0.0022018488320205308,0.003684125691464758,0.004150935915084442,-0.003629894971910629,0.000991589835595014,-0.0005159875280133452,0.0006088661059089956,-1.613931042396418e-05,-0.0001029049300577808,-0.005474819340044604,-0.005859105738766596,0.007219550392339685,-0.0025706180576047497,-0.004608128390340915,0.0033320030156057927,0.009257621756942397,0.0003297678159425566,-0.005616488814633006,-0.0037464648510935595,0.008053428877293824,0.0007064824736467087,-0.0061755438092661276,-0.0017854817817133995,0.010334610426292887,0.0036402714664662073,-0.010265994055801609
XLI,0.01674442424727677,-0.0007192880855212587,-0.014495583753943699,-0.009028438662107535,0.02886369699507958,0.024301088420427983,-0.02112985189014929,-0.016711790155299083,0.021219844408134646,0.01546212264955495,-0.0219402636016117,-0.01689924636120062,0.014737506312454119,0.022664059520234637,-0.012720573396878312,-0.016265569349053936,-0.005355297869095476,0.020983187933003758,0.011384408686287973,-0.007375870629308433,-0.00592895125333668,0.016188751899827006,0.013697325790016852,-0.019099222128072503,-0.008910858552647474,0.013247041560305643,0.015730956807238006,-0.014886299617363393,-0.012681886034493054,0.005443207389512242,0.016713610612933978,-0.005126712494790893,-0.014517156994605108,0.00989629829595073,0.01273218880665271,-0.0066334310131877915,-0.016808667606905768,0.016551640631326216,0.0163531161975908,-0.01164020062818243,-0.01840831179343866,0.015638684164318635,0.016317025429517663,-0.013004745275080882,-0.009635817527259326,0.0037113001117861605,0.014100631265032337,-0.007128274442293997,-0.01657705929575558,-0.005696534513379678,0.013567287462043444,-5.4649682791310834e-05,-0.006499718602510721,0.0015844442719799934,0.0066895150137621425,-0.0015242666712666918,-0.004409236117528678,0.0030868453519244093,-0.001557966556174113,-0.00788944217565658,-0.002892130356182135,0.01278089728640797,-0.011330057392675919,-0.01083769559375536,0.008499465247716841
XLB,0.02196203638892588,0.003530287121674758,-0.02038131402127761,-0.011095614659949384,0.03696719445867641,0.008430620397443588,-0.022571912425491076,-0.013282545306218717,0.023582495554513874,0.012253066408781706,-0.011765548941989903,-0.01736750859089535,0.0027157536199743995,0.031878571723214025,-0.015374057453935264,-0.011611360166751225,-0.019821975646306077,0.03198454290756097,0.00560949304053325,-0.007441276416471863,-0.01785668896607597,0.01932557730854212,0.024763163248080925,-0.017718259105232913,-0.01636938950479261,-0.0013892754944730182,0.03530678168988022,-0.0025847780027989735,-0.013192786715591915,-0.018599288001314898,0.025561947745352264,0.005193599106843181,-0.01665365063139447,-0.007396759150012087,0.011603112519972925,0.006572632224931717,-0.025735727028682032,0.007200244304523559,0.01672852209731064,0.005077514058364682,-0.027676880732085334,0.002889907982928162,0.02635490662844352,0.008409851605715701,-0.016245984596281692,-0.018697424739371034,0.028588441202099173,0.0017585478457155601,-0.014060106910769862,-0.030396653723569592,0.014478562149400076,0.010296869653699836,-0.003628864590578689,-0.0038496875927973608,-0.004749426977356185,0.010634142076882892,0.0015082770920131587,0.010301641445274373,-0.017276994165146227,-0.005503335576284777,0.00034591062821257967,0.019484780760700093,-0.011154839319198653,-0.016624497332005286,0.0007840361203424713
XLRE,0.004931605469997909,-0.010350678930084291,0.00014750524202058893,-0.015376419087732067,0.0298510820005501,-0.002420658246682132,-0.013450710432222764,0.0017365239871706168,-0.015692702752634763,0.01209952444353183,0.00412226520485453,0.002655628840003603,0.004001592401185593,-0.03237539370958491,0.014729245419293876,0.012027743199866025,-0.012825831169541387,0.016409718211361828,-0.00785636303140951,-0.006433668403463975,-0.003036752380672508,-0.0030769805397407625,0.02698452887785994,-0.028535602435478466,0.020529859592442756,-0.01138906211175126,-0.0064010350898847,0.01991447523890359,-0.007996848762070508,0.014724896852227262,-0.02118477637117813,-0.004017032941540355,0.015326597223997502,-0.010595831498533586,0.020545902678926174,-0.012779682085079277,-0.009051440287827173,0.008324793671110855,-0.0005282700160578169,0.011525468533212716,-0.004618502414460468,-0.009611768929734364,0.0019090061986427457,-0.005753146310091871,0.010344154365090223,0.002491242049103094,-0.008554475156257811,0.011947762755138501,-0.025151403370316988,0.014103585531270686,-0.003487659780435598,-0.006659502622343004,0.006804227430491395,-0.00020826636812953597,0.007490061604840807,-0.01509887551651921,0.0007510095441413897,0.01169387673947838,-0.011270563259747967,0.008877185348775875,-0.004981774698792229,0.004823926832402568,-0.011811347433914548,0.0033320602001771543,0.010857027517051154
XLK,0.01700922411741189,0.030076638721682113,-0.002109818555585824,-0.03849449603849176,0.01823454579532947,-0.013817008971307934,-0.01638012176852959,0.019027836766160114,0.00913764122030156,0.01161736403026947,-0.016328849132720185,0.0025553309578247975,-0.0008226238474232897,-0.0028286350301266272,-0.035343545626350115,0.05740150869466226,-0.033461481726419495,0.013889778870998709,0.01207070113109713,-0.006384264264432557,-0.013054384984342884,-0.009196850274098894,0.004074043118490591,-0.01317024097414787,0.020226583291845505,0.005982803780789084,0.03695840218278437,-0.020914696020586668,-0.004213915434914627,-0.013589288030345826,-0.022630581489750466,-0.018408429123708738,0.005749018567545327,0.02660011411670629,0.005525846071775873,0.021402299890589217,-0.004746431961295733,0.008901685238523022,-0.00855220931900709,-0.013817586051784233,-0.010052419995615692,0.009652653685213867,-0.012278614356101121,0.004609499407316746,0.0013706250349724849,0.001078323362523412,0.011705252895013403,-0.007038438629166556,0.00023335995847564763,0.0015074247630483654,-0.0028167975811143374,-0.02020247150953766,0.014649475243100054,0.0019185002873987945,0.009484157594273507,0.009969065593807013,0.0037101014797666187,-0.002473958987467129,-0.00034482840526708317,-0.032364942492155845,-0.005519921663284819,0.024267897940953666,-0.032640987605173366,0.03380685889544342,0.005291244163663802
VOX,-0.0001714903120842219,-6.253565803298507e-05,-0.00022869854604942448,0.0009370984553703375,-0.001214473703253418,0.002739418031059551,-0.0030409991519085074,0.0029361420355098556,-0.0019026252665687634,0.0020559692233219342,-0.0019663345132927943,0.0013561150546952984,-0.0021802007039418664,0.003924081106851952,-0.0034900804840551592,0.002518507510933423,-0.0010213964776259838,4.0467666448865906e-05,0.0024596748975434833,-0.0028736536933509243,0.002452760124854151,-0.0017313426657404175,0.0026855616215975915,-0.0022592989304201856,0.0020547536523532143,-0.003507340883658669,0.005258579894172393,-0.004005952278563847,0.0024622502687528898,-0.0023552600050324073,0.0023406210734082233,-0.00043117730033876865,0.0002991212638051068,-0.0012194192836826167,0.0018148097480555328,-0.0010989275109133001,0.0007066009476847567,-0.001037103171893477,0.0016041489723622796,-0.001164479634864039,0.0008139855624284332,-0.0009860201175771362,0.001930235354867508,-0.0017823664853703035,0.0014064354444906424,-0.0023144790751502857,0.0028937784951777843,-0.0016226922714795127,0.0008192787167981256,-0.0012204960318440504,0.001435777766314962,-0.0009432966862474722,0.0009985109242861695,-0.0013082640286997051,0.00036924408351473947,0.0005389433675130671,-0.0006459672454378638,0.00038075316442892144,-0.0007854215128919527,0.00020077210148339346,-0.0003496583928678436,0.000558306641659086,-0.00022210047809869456,-0.0007186337973236402,0.00047211589876081447
XLU,0.010357846094960568,0.008162716897531536,0.0015869967675306341,-0.0051668492979532,0.0059217407420553165,0.002090653617430904,-0.025891660611543243,0.007901304019084069,-0.014608842660024546,-4.514794383290435e-06,0.008375179811402508,-0.02033150289849601,0.0269103908713339,-0.009595611464526456,0.011126925358652565,0.010949254412718164,-0.023899669935060576,0.024397965035875702,-0.012562205283672925,-0.005629739479791151,-0.006573388377272308,-0.006972426538362138,0.018110842948795378,-0.01606139102414954,0.01727287186776864,0.0007502074880525378,0.002548800211848689,0.02164234694951391,-0.02190493475416223,0.008852327446046065,-0.011397190139530904,-0.005244681709798769,0.006389609790088775,-0.029314248474460645,0.012183018018950383,0.003886550179615612,-0.011537991571147632,0.017122623099914615,-0.009002207692555827,0.006082993353622076,0.013752206917292058,-0.011774211865352524,0.011093857452894918,-4.583256240971536e-05,-0.001450448576317766,0.012052072643612737,-0.019897522461848526,0.009485818537821407,-0.004143965470304765,-0.017747272939530427,0.006675505436316817,-0.018651078214598143,0.009028535737773825,0.005836619211780703,-0.0012762327254333904,0.01085864630077897,-0.003416539589544388,0.01208298185998466,-6.623192763528579e-05,-0.006890645668729665,0.001993186992722112,0.0003352072982469507,-0.003802166251595643,5.4679122857546805e-05,0.004558370495878254
GDX,-0.005914824939782634,-0.008537069384431162,-0.013386289826254956,-0.005743806890812073,0.04064332005901232,-0.02280530779363637,-0.02120611674895305,-0.007058403299076145,0.02781244197221037,0.0319909578681947,-0.0494368333061671,0.001610379278119127,0.006548017664414138,0.02741509196024652,-0.02447293813218028,-0.002106199509368986,0.0060147998243904625,-0.0004918586951716273,0.006840266432059724,-0.025198020459416114,0.01948600588519121,-0.0015081088892312346,0.024028123523376764,-0.016941317490918498,-0.02750757570252942,0.021930581963798858,0.015177984839370528,0.013036945574311074,-0.025228190113673207,-0.026324119520829393,0.04898930861872931,0.0017550937241070865,-0.0045195842920981505,-0.01933581604083184,-0.00756655244185526,0.03421269908467507,-0.042096556483189246,0.02300665101893621,-0.007858798372490138,0.0038946292094816115,-0.0032086131240079826,-0.03198748451415931,0.05501996669661261,-0.029994455884672484,-0.0010031104269810187,-0.021001604024956155,0.022940749521344325,0.029311909872454772,-0.053727606716214904,0.013301622406890999,-0.0037529449103283286,0.03642347195112656,-0.005005679162166349,-0.0174081960554556,0.004876665424098499,-0.016593916939245088,0.03136025524191607,0.007823144202848197,-0.012980659818670382,-0.022737927176869045,-0.011258555977888995,0.03763474781768728,0.014879688849253725,-0.023723550636670237,-0.008974237165105405
GUNR,0.016109525278789758,7.888010199542071e-05,-0.014658759456000509,-0.00986194332027629,0.02483355703174045,0.017702065366679644,-0.015911588520765962,-0.0166586057150292,0.014250476642376851,0.016965979810935,-0.013955092832332164,-0.02116976055951332,0.005420111770433354,0.032627831388284574,-0.008057971822911517,-0.024149122894778184,-0.013590965373088303,0.03090506238592547,0.013248247836163032,-0.01343253033993138,-0.013954092672650575,0.023209797536961292,0.025801793978145523,-0.0211767079685856,-0.025101461204013145,0.010136385395022566,0.03151040245014061,-0.001796722488782733,-0.019725185435605034,-0.009188446643220691,0.028189562404592174,0.0012528578942331812,-0.021754903627772357,-0.001691841863360473,0.02675476415884281,0.0029976251080484776,-0.03147926158232416,0.0020603714256884264,0.021382463681335624,0.003464768602278484,-0.030838818541296904,-0.0034862815641741934,0.02963224461997152,0.009286303145938923,-0.02463782266521171,-0.02078351265798087,0.029985698917232646,0.01516977729484985,-0.021768756406255276,-0.02776180638930471,0.019351397616838097,0.020334928194483425,-0.0057796625701440184,-0.0196339562700841,-0.0065114905153185205,0.01385165640105002,0.0038409039058481358,-0.0036274896344978052,-0.01553972851194262,0.0011323681768581652,0.0058337164886503295,0.011700234550249615,-0.009577620365045064,-0.011453993892185151,0.0027048423530482164
IXUS,0.013211739135118247,-0.001156231824721553,-0.006691774291877033,-0.014784344245939104,0.0277539777506393,0.010666615772845344,-0.011227569892303658,-0.011603447844824453,0.011902619871298693,0.012637174500135687,-0.002796535984511244,-0.01563626062775081,-0.0003462129557660386,0.03340403857672397,-0.013349243645530997,0.0035922640998380436,-0.027077395629830893,0.031115156668182254,0.007674819626652371,-0.004611958814416514,-0.01955870303941937,0.015584266173582264,0.021272315645086096,-0.0053919938607733375,-0.017711464064290187,-0.008167681786407699,0.03454518335764334,-0.000898872752201226,-0.007731598978666496,-0.023167520176555906,0.022350470384976534,0.005657964461448709,5.6580725301492996e-05,-0.010483478510457401,0.0074631214365223665,0.002128751327622158,-0.010702381796153513,0.005654225688607243,0.0034978915727126346,0.001968027064001312,-0.012978252626083108,0.008145804762029465,0.0038977178087301416,0.0053741504199456384,-0.010312053553810381,-0.011761628443383385,0.017369328498353487,0.005139693765567778,-0.0023440763409782552,-0.020271707530891914,0.00787389868345671,0.004767884002191371,0.0025509614742297813,-0.004239387606331773,-0.00434223125277129,0.0020131855570718104,0.001358891871596068,0.004319251783396783,-0.011449924698800257,-0.009979073368021403,0.006333621639216306,0.015935006959503655,-0.004925449797958378,-0.007371870199075406,-0.007567292713795869
