
key = model_output

all_variance

key = all_variance

,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,asof
IEI,4.972441396250566e-05,4.675978890896062e-05,4.610033014558946e-05,4.4780612025350614e-05,4.5755990369503385e-05,4.239662997589517e-05,4.012899211861172e-05,3.922303815309219e-05,3.713356135502341e-05,3.274724078256976e-05,3.552644959270167e-05,3.652992219060431e-05,3.8934141307971153e-05,4.01029847852193e-05,4.021762112785812e-05,3.796030709576149e-05,3.806642792651467e-05,3.751209649459904e-05,3.823439108025594e-05,3.849052860806542e-05,3.853036541466565e-05,3.789335035225196e-05,3.783918425117105e-05,3.881030890420332e-05,3.864743360205671e-05,3.914723822232868e-05,3.8797847511415093e-05,2024-12-27
IEF,0.00013123819408464052,0.00011176901018949196,0.00011118780936640496,0.00010560013617641367,0.00010655155571059732,9.762078039697773e-05,9.636893426804065e-05,9.558284624559964e-05,9.201581432210029e-05,8.15543740170948e-05,9.17892792903499e-05,9.084176110042462e-05,9.680029146457532e-05,0.0001000092031050939,0.00010055979488632332,9.518660377820454e-05,9.555733418171989e-05,9.466284072144854e-05,9.601690584323015e-05,9.756949792517409e-05,9.824855437969831e-05,9.611478555500375e-05,9.557848248591203e-05,9.783992348806743e-05,9.753856546105737e-05,9.870187614428585e-05,9.840575951380283e-05,2024-12-27
VGIT,6.369758673602206e-05,5.7984438738304367e-05,5.749238045227077e-05,5.568373411766613e-05,5.676227666484083e-05,5.2231493366552245e-05,4.986165214419859e-05,4.8963334578707505e-05,4.655204110744662e-05,4.121416640744821e-05,4.509301153937132e-05,4.6050707182281736e-05,4.907573037211735e-05,5.058057154436123e-05,5.071889826327585e-05,4.793174232786404e-05,4.808997368405154e-05,4.7500799481106645e-05,4.837091530181081e-05,4.8831104919986165e-05,4.895070019101109e-05,4.804996063887481e-05,4.793029110710189e-05,4.911369248797183e-05,4.893550708987595e-05,4.953247518241228e-05,4.9192997910633026e-05,2024-12-27
TLT,0.000601800435315294,0.0004369532967522102,0.0003688286219349173,0.00032703946744328547,0.0003172451879099984,0.0003267310249397222,0.0003567970763703561,0.0003935231398681669,0.0003314561124309907,0.00032882787756761137,0.000394265856420438,0.00037108750919797467,0.0003972533466394904,0.00042270066728550824,0.00041075417657002747,0.00039984364242096244,0.000392294724486457,0.00040244089509830223,0.0004005447236484498,0.00041514730054029403,0.0004092229281440584,0.0004032363315335053,0.00039628984093052576,0.00040801418170918904,0.0004036232935729723,0.00040996695432252844,0.00040871005699114835,2024-12-27
GOVT,8.08596583890177e-05,6.66364181764688e-05,6.66222389468047e-05,6.337499815437577e-05,6.370658909596536e-05,5.755629962535451e-05,5.824753302151042e-05,5.750013456544149e-05,5.686287467599986e-05,5.0204418193988935e-05,5.8266895990134646e-05,5.596954788321531e-05,6.084832295000884e-05,6.288595478207857e-05,6.304329295267054e-05,5.9434889454212574e-05,5.9645968398605625e-05,5.9085243983361666e-05,6.019916843852737e-05,6.114398716450381e-05,6.150848005563371e-05,6.015995884415637e-05,5.9927696318332574e-05,6.142180732736939e-05,6.123865708629576e-05,6.200131987061333e-05,6.174048238794991e-05,2024-12-27
MUB,4.0817075836456566e-05,2.8725924673823754e-05,2.975942875171626e-05,2.934889025798114e-05,3.2172797344519663e-05,2.7076569378780076e-05,2.9496454388819086e-05,2.5860963656972964e-05,2.763517397083792e-05,2.260135463019671e-05,2.4068333670998686e-05,2.3719991966903636e-05,2.4826737602334787e-05,2.550199052874547e-05,2.548005532688726e-05,2.4185649650421132e-05,2.4450763424269227e-05,2.4210043561488493e-05,2.463055727762844e-05,2.5056357717956783e-05,2.521774891807641e-05,2.4827382347658805e-05,2.4755043961011348e-05,2.534420655163874e-05,2.522245283123945e-05,2.558887225883352e-05,2.541353249581984e-05,2024-12-27
VCIT,9.214402686746961e-05,7.634161288507706e-05,7.904264387007619e-05,7.399161164481939e-05,7.310224615330793e-05,6.547428573198853e-05,6.733629679446045e-05,6.246276253983476e-05,6.51957385400931e-05,5.39599794686443e-05,6.270104821275675e-05,6.0045762476233395e-05,6.39536301412944e-05,6.692589768645515e-05,6.761026085236393e-05,6.325584913438396e-05,6.360832682512394e-05,6.249791645670924e-05,6.330741327422916e-05,6.468057916322467e-05,6.526742142397449e-05,6.398116811845675e-05,6.344559741242332e-05,6.559975661958428e-05,6.502809610765433e-05,6.62284416975166e-05,6.564002394022574e-05,2024-12-27
VCLT,0.0003182266060450921,0.0002228565955008798,0.00024220489153577922,0.00021461331937716328,0.00021325689523992496,0.00020649614079611294,0.0002271133715239167,0.00023176348004823818,0.0002366495745162894,0.00019126253305855708,0.0002223942262518854,0.00020374208681288793,0.00022397383657661604,0.00023446915346856927,0.00023663419182253144,0.00022123504019296746,0.0002241686187514623,0.00022105411483655844,0.0002239698426087718,0.00023087749097543922,0.00023491782592250233,0.0002291858407299056,0.0002268857075633373,0.00023416477513952093,0.00023268913338129506,0.00023735445763393008,0.0002364409295009924,2024-12-27
LQD,0.00014591205615626458,0.0001161320085233328,0.00011828255116423947,0.00011859895395929107,0.00010336191278781795,0.00010624868486462087,0.000102590682250963,0.00010262737397320479,0.00010615602383646818,8.726977237754119e-05,0.00010534079693617129,9.753980944109677e-05,0.00010658179729467274,0.00011096930164061933,0.00011203288516944612,0.0001044442228589657,0.00010554547986407378,0.00010369544599782492,0.00010524077522413688,0.00010807780431855031,0.0001096491670475765,0.00010723133379786221,0.0001062177339715715,0.00010992388874160067,0.00010901437120191404,0.00011128628755127041,0.00011046484240056616,2024-12-27
HYG,5.1309188508659684e-05,4.3982242464576215e-05,4.685532478070325e-05,4.410533823945376e-05,4.432071690474637e-05,3.138493427848499e-05,3.126550647305908e-05,3.084755446974554e-05,3.6188041203044015e-05,2.7616912065115332e-05,3.0403360839599584e-05,3.182022426442953e-05,3.181103125514666e-05,3.263617305376661e-05,3.3269598881820955e-05,3.0970236176639386e-05,3.071178613350158e-05,2.9461114852029374e-05,2.941629573032223e-05,2.9674239223154863e-05,2.9659624550909608e-05,2.9299580266157517e-05,2.9049769982829916e-05,3.0139031677537405e-05,2.9735553936820217e-05,3.032599759032579e-05,2.9742139988846894e-05,2024-12-27
